cosmos1zzfq5pp7cmzkt0n9csk56z4tlgydc3hcw0e7lx,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,103000uatom
cosmos1zz03gwhf23ljvke3gmw5pv60hkvk0cd9rymcf0,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,10200uatom
cosmos1zyu98g3jq63jdka2j23fdm0aa9l59hg83vu8fw,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,510uatom
cosmos1zydsfsherl2zp3ya2setfddvstk372lavvh8k7,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,1320000000uatom
cosmos1zydsfsherl2zp3ya2setfddvstk372lavvh8k7,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,1370000000uatom
cosmos1zvyyqgjuxm9mjc4hhcgxr7gczmnvmkjhdjd3k5,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,111000uatom
cosmos1zvhz2nqmtt9jxgnp07wpwdg9fhykf0tqtjkfpr,cosmosvaloper1sd4tl9aljmmezzudugs7zlaya7pg2895ws8tfs,10000000uatom
cosmos1zvhz2nqmtt9jxgnp07wpwdg9fhykf0tqtjkfpr,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,8000000uatom
cosmos1zvhz2nqmtt9jxgnp07wpwdg9fhykf0tqtjkfpr,cosmosvaloper1hjadhj9nqzpye2vkmkz4thahhd0z8dh3udhq74,6999500uatom
cosmos1zvhz2nqmtt9jxgnp07wpwdg9fhykf0tqtjkfpr,cosmosvaloper1vf44d85es37hwl9f4h9gv0e064m0lla60j9luj,8000000uatom
cosmos1zvhz2nqmtt9jxgnp07wpwdg9fhykf0tqtjkfpr,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,8000000uatom
cosmos1zvhz2nqmtt9jxgnp07wpwdg9fhykf0tqtjkfpr,cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,5000000uatom
cosmos1zvhz2nqmtt9jxgnp07wpwdg9fhykf0tqtjkfpr,cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,6000000uatom
cosmos1zvhz2nqmtt9jxgnp07wpwdg9fhykf0tqtjkfpr,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,5000000uatom
cosmos1zvfuak3n5wgrnptyq3ks0uwgqz07c33s6h26ry,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,2687482uatom
cosmos1zvfuak3n5wgrnptyq3ks0uwgqz07c33s6h26ry,cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,5186727uatom
cosmos1zvfuak3n5wgrnptyq3ks0uwgqz07c33s6h26ry,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,2300000uatom
cosmos1zvfuak3n5wgrnptyq3ks0uwgqz07c33s6h26ry,cosmosvaloper1z66j0z75a9flwnez7sa8jxx46cqu4rfhd9q82w,5184345uatom
cosmos1zuv546ms2n8ppxas52vetyarhq6cfq5z69exxq,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,5054902uatom
cosmos1ztm2lhwm3m4fns2kseru6q76hcvhsfk0dmp06e,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,103000uatom
cosmos1zth606ytx48ng6uheht5v638l0q6v23egfk04v,cosmosvaloper1et77usu8q2hargvyusl4qzryev8x8t9wwqkxfs,27572912uatom
